,Gene.symbol,ID,NavB,MEmB,CD8T,CD4T,NKcell,Monocyte
1,CCL1,100132913_TGI_at,0.24912666,0.592239569,0.270379936,0.002096039,0.009867169,0.205010403
2,CCL11,100122001_TGI_at,0.011256056,0.242676884,0.000457771,0.103896817,0.053996074,0.15831982
3,CCL11,100309875_TGI_at,NA,NA,NA,NA,NA,NA
4,CCL13,100159583_TGI_at,0.007411667,0.120145679,5.94E-05,0.140341588,0.97233295,2.46E-08
5,CCL16,100151730_TGI_at,0.022036841,0.709773527,0.033520034,0.051059563,0.953268892,0.778899227
6,CCL17,100148726_TGI_at,0.792777984,0.868721973,0.950772272,0.076905814,0.860725363,0.465727975
7,CCL18,100136911_TGI_at,0.000105261,0.006610301,0.000261673,0.920653719,0.055751067,7.30E-10
8,CCL19,100150876_TGI_at,3.64E-05,0.368372403,0.014267557,3.50E-06,0.001051545,0.495207585
9,CCL2,100146289_TGI_at,0.004344703,0.557979039,0.072813728,0.022382725,0.762835212,0.610003386
10,CCL20,100158427_TGI_at,0.041769505,0.972949582,0.132069842,0.534318681,0.393584955,0.374867065
11,CCL21,100137678_TGI_at,0.000193157,0.658246159,0.055402545,3.24E-05,0.003641908,0.097413521
12,CCL22,100129043_TGI_at,0.144882973,0.006772716,0.517018492,0.4386817,0.119352717,0.27645709
13,CCL23,100162032_TGI_at,0.14963282,0.494069935,7.83E-05,0.146632687,0.169725433,1.75E-05
14,CCL24,100134406_TGI_at,0.098845622,0.084538853,0.14176945,4.20E-05,0.337368287,0.022701729
15,CCL25,100134708_TGI_at,0.497923922,0.59328102,0.955066682,0.537484325,0.297633953,0.671028042
16,CCL26,100302551_TGI_at,NA,NA,NA,NA,NA,NA
17,CCL26,100142511_TGI_at,0.002232598,0.809717665,0.01941752,0.58794549,0.399998248,0.042023894
18,CCL27,100150782_TGI_at,0.02094277,0.635910905,0.014850584,0.080817508,0.365292481,0.017266363
19,CCL28,100132753_TGI_at,0.01680065,0.250778411,0.265760741,0.000948787,0.064480326,0.341204855
20,CCL5,100161115_TGI_at,0.000200884,0.694561196,0.025431777,8.47E-05,2.51E-07,0.394630297
21,CCL7,100155328_TGI_at,0.007681201,0.078255967,0.012991071,0.414186429,0.012221865,0.037276474
22,CCL8,100137736_TGI_at,0.002360394,0.252733907,8.52E-05,0.530623654,0.236286769,0.040319161
23,CX3CL1,100161594_TGI_at,0.84419021,0.212226921,0.498166897,0.331530273,0.814300853,0.036902194
24,CXCL1,100132265_TGI_at,0.01237144,0.809363239,0.709077208,0.22033132,0.811474595,0.998485898
25,CXCL10,100158762_TGI_at,0.043380496,0.057760522,0.258252972,0.423675445,0.066038414,0.18100245
26,CXCL11,100302628_TGI_at,NA,NA,NA,NA,NA,NA
27,CXCL12,100127959_TGI_at,3.18E-05,0.230204821,0.033031493,0.0119537,0.000133081,0.191440818
28,CXCL12,100130092_TGI_at,6.09E-05,0.095608123,0.078506906,0.008791485,5.18E-05,0.732466418
29,CXCL12,100303327_TGI_at,NA,NA,NA,NA,NA,NA
30,CXCL13,100130617_TGI_at,0.001884872,0.109808813,0.242983435,0.007642757,0.289602729,0.953443922
31,CXCL14,100302683_TGI_at,NA,NA,NA,NA,NA,NA
32,CXCL14,100308919_TGI_at,NA,NA,NA,NA,NA,NA
33,CXCL14,100145996_TGI_at,0.401097065,0.739495278,0.730359991,0.490008353,0.026283066,0.499504892
34,CXCL16,100301794_TGI_at,NA,NA,NA,NA,NA,NA
35,CXCL16,100150209_TGI_at,0.096362514,0.252723921,0.028579601,0.00173658,0.266305803,1.65E-10
36,CXCL16,100303083_TGI_at,NA,NA,NA,NA,NA,NA
37,CXCL17,100148685_TGI_at,0.831740316,0.289636655,0.448084601,9.65E-05,0.000591971,0.016116132
38,CXCL2,100161301_TGI_at,0.034895261,0.776628579,0.181893049,0.039226588,0.221124505,9.68E-05
39,CXCL3,100124518_TGI_at,0.046330874,0.858714439,0.432461319,0.077919701,0.082167215,0.797886169
40,CXCL5,100152679_TGI_at,3.16E-06,0.963226071,0.001355343,0.168096127,0.150189244,0.045013614
41,CXCL5,100305840_TGI_at,NA,NA,NA,NA,NA,NA
42,CXCL6,100142658_TGI_at,0.000316531,0.629152841,0.04897056,0.564448681,0.065891679,0.071055091
43,CXCL8,100135032_TGI_at,0.001479368,0.392568135,0.234419103,0.056395958,0.777452626,0.599552765
44,CXCL9,100135981_TGI_at,0.188988581,0.020060704,0.359712869,0.038352959,0.025138288,0.978615887
45,XCL1,100157362_TGI_at,0.34020767,0.25049135,0.055138691,0.585249843,0.136666622,0.992476559
